date,n2o,t_air,t_surface,t_5,moist7,moist20,wtl,precip,wtl_1,wtl_2,wtl_3,wtl_4,wtl_5,wtl_6,wtl_7,moist7_1,moist7_2,moist7_3,moist7_4,moist7_5,moist7_6,moist7_7,moist20_1,moist20_2,moist20_3,moist20_4,moist20_5,moist20_6,moist20_7,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,t_surface_1,t_surface_2,t_surface_3,t_surface_4,t_surface_5,t_surface_6,t_surface_7,t_air_1,t_air_2,t_air_3,t_air_4,t_air_5,t_air_6,t_air_7,t_5_1,t_5_2,t_5_3,t_5_4,t_5_5,t_5_6,t_5_7
2015-06-01,210.479289919362,10.4126775260417,10.7848394661458,8.03087821614583,0.327816314656913,0.616307862481383,-43.3811551470833,1.88549163636364,-43.2306199879167,-43.0842514958333,-42.94204966875,-42.9206811779167,-43.3511283249325,-44.286273933514,-44.3573364270579,0.319520164618265,0.338268360951429,0.336660830539752,0.333891923901602,0.311015733145557,0.308217243426253,0.305232032326762,0.615834891326308,0.608119667707858,0.606906316435162,0.606696740799108,0.619892012104583,0.607968782025307,0.608929751361687,0,1.41399860205909,3.06023475535791,1.54183153390053,1.69435202120439,2.17420830191963,2.2079160956917,10.8375812628776,9.9000289454798,8.83900699733766,9.85397225993618,12.3253415626809,10.3995782544276,10.0312729957171,10.6806619967589,10.5560333105684,8.18938488482463,9.64225205105889,12.2539459277694,10.2296124736659,10.0179761997916,7.94012851487441,7.34073622873018,7.46663181965505,7.71221687409341,8.02252863757379,7.04119304201875,6.7038448419956
2015-06-02,188.146443334876,11.3036355598958,11.1365465885417,8.27586638020833,0.290127491297682,0.549998953014363,-43.5150236404167,1.05152418181818,-43.3811551470833,-43.2306199879167,-43.0842514958333,-42.94204966875,-42.9206811779167,-43.3511283249325,-44.286273933514,0.327816314656913,0.319520164618265,0.338268360951429,0.336660830539752,0.333891923901602,0.311015733145557,0.308217243426253,0.616307862481383,0.615834891326308,0.608119667707858,0.606906316435162,0.606696740799108,0.619892012104583,0.607968782025307,1.88549163636364,0,1.41399860205909,3.06023475535791,1.54183153390053,1.69435202120439,2.17420830191963,10.7848394661458,10.8375812628776,9.9000289454798,8.83900699733766,9.85397225993618,12.3253415626809,10.3995782544276,10.4126775260417,10.6806619967589,10.5560333105684,8.18938488482463,9.64225205105889,12.2539459277694,10.2296124736659,8.03087821614583,7.94012851487441,7.34073622873018,7.46663181965505,7.71221687409341,8.02252863757379,7.04119304201875
2015-06-03,144.85531954624,11.06327421875,11.1432738541667,8.8213696875,0.314115893875758,0.592116975696746,-43.2405587983333,3.04579418181818,-43.5150236404167,-43.3811551470833,-43.2306199879167,-43.0842514958333,-42.94204966875,-42.9206811779167,-43.3511283249325,0.290127491297682,0.327816314656913,0.319520164618265,0.338268360951429,0.336660830539752,0.333891923901602,0.311015733145557,0.549998953014363,0.616307862481383,0.615834891326308,0.608119667707858,0.606906316435162,0.606696740799108,0.619892012104583,1.05152418181818,1.88549163636364,0,1.41399860205909,3.06023475535791,1.54183153390053,1.69435202120439,11.1365465885417,10.7848394661458,10.8375812628776,9.9000289454798,8.83900699733766,9.85397225993618,12.3253415626809,11.3036355598958,10.4126775260417,10.6806619967589,10.5560333105684,8.18938488482463,9.64225205105889,12.2539459277694,8.27586638020833,8.03087821614583,7.94012851487441,7.34073622873018,7.46663181965505,7.71221687409341,8.02252863757379
2015-06-04,121.842504398379,10.3863159635417,10.4268383723958,8.40903385416667,0.301965231210375,0.554569646490106,-43.39109395875,0,-43.2405587983333,-43.5150236404167,-43.3811551470833,-43.2306199879167,-43.0842514958333,-42.94204966875,-42.9206811779167,0.314115893875758,0.290127491297682,0.327816314656913,0.319520164618265,0.338268360951429,0.336660830539752,0.333891923901602,0.592116975696746,0.549998953014363,0.616307862481383,0.615834891326308,0.608119667707858,0.606906316435162,0.606696740799108,3.04579418181818,1.05152418181818,1.88549163636364,0,1.41399860205909,3.06023475535791,1.54183153390053,11.1432738541667,11.1365465885417,10.7848394661458,10.8375812628776,9.9000289454798,8.83900699733766,9.85397225993618,11.06327421875,11.3036355598958,10.4126775260417,10.6806619967589,10.5560333105684,8.18938488482463,9.64225205105889,8.8213696875,8.27586638020833,8.03087821614583,7.94012851487441,7.34073622873018,7.46663181965505,7.71221687409341
2015-06-05,120.029914402167,10.3057084090909,10.3326577272727,8.17261838068182,0.307073359462894,0.594828205784572,-43.7416291170833,0,-43.39109395875,-43.2405587983333,-43.5150236404167,-43.3811551470833,-43.2306199879167,-43.0842514958333,-42.94204966875,0.301965231210375,0.314115893875758,0.290127491297682,0.327816314656913,0.319520164618265,0.338268360951429,0.336660830539752,0.554569646490106,0.592116975696746,0.549998953014363,0.616307862481383,0.615834891326308,0.608119667707858,0.606906316435162,0,3.04579418181818,1.05152418181818,1.88549163636364,0,1.41399860205909,3.06023475535791,10.4268383723958,11.1432738541667,11.1365465885417,10.7848394661458,10.8375812628776,9.9000289454798,8.83900699733766,10.3863159635417,11.06327421875,11.3036355598958,10.4126775260417,10.6806619967589,10.5560333105684,8.18938488482463,8.40903385416667,8.8213696875,8.27586638020833,8.03087821614583,7.94012851487441,7.34073622873018,7.46663181965505
2015-06-06,107.671115054571,10.0981594140625,10.4724908463542,7.88411212239583,0.313072411783785,0.603270864146094,-44.0588309433333,0.435113454545455,-43.7416291170833,-43.39109395875,-43.2405587983333,-43.5150236404167,-43.3811551470833,-43.2306199879167,-43.0842514958333,0.307073359462894,0.301965231210375,0.314115893875758,0.290127491297682,0.327816314656913,0.319520164618265,0.338268360951429,0.594828205784572,0.554569646490106,0.592116975696746,0.549998953014363,0.616307862481383,0.615834891326308,0.608119667707858,0,0,3.04579418181818,1.05152418181818,1.88549163636364,0,1.41399860205909,10.3326577272727,10.4268383723958,11.1432738541667,11.1365465885417,10.7848394661458,10.8375812628776,9.9000289454798,10.3057084090909,10.3863159635417,11.06327421875,11.3036355598958,10.4126775260417,10.6806619967589,10.5560333105684,8.17261838068182,8.40903385416667,8.8213696875,8.27586638020833,8.03087821614583,7.94012851487441,7.34073622873018
2015-06-07,98.6300681393839,12.0216812239583,12.2597402604167,8.76501876302083,0.318549051595705,0.592600363970117,-44.41769943625,0.217556727272727,-44.0588309433333,-43.7416291170833,-43.39109395875,-43.2405587983333,-43.5150236404167,-43.3811551470833,-43.2306199879167,0.313072411783785,0.307073359462894,0.301965231210375,0.314115893875758,0.290127491297682,0.327816314656913,0.319520164618265,0.603270864146094,0.594828205784572,0.554569646490106,0.592116975696746,0.549998953014363,0.616307862481383,0.615834891326308,0.435113454545455,0,0,3.04579418181818,1.05152418181818,1.88549163636364,0,10.4724908463542,10.3326577272727,10.4268383723958,11.1432738541667,11.1365465885417,10.7848394661458,10.8375812628776,10.0981594140625,10.3057084090909,10.3863159635417,11.06327421875,11.3036355598958,10.4126775260417,10.6806619967589,7.88411212239583,8.17261838068182,8.40903385416667,8.8213696875,8.27586638020833,8.03087821614583,7.94012851487441
2015-06-08,97.2010159636436,11.2673501822917,11.3473664713542,8.50441891927083,0.315988148589826,0.588770896643871,-44.8015679279167,0,-44.41769943625,-44.0588309433333,-43.7416291170833,-43.39109395875,-43.2405587983333,-43.5150236404167,-43.3811551470833,0.318549051595705,0.313072411783785,0.307073359462894,0.301965231210375,0.314115893875758,0.290127491297682,0.327816314656913,0.592600363970117,0.603270864146094,0.594828205784572,0.554569646490106,0.592116975696746,0.549998953014363,0.616307862481383,0.217556727272727,0.435113454545455,0,0,3.04579418181818,1.05152418181818,1.88549163636364,12.2597402604167,10.4724908463542,10.3326577272727,10.4268383723958,11.1432738541667,11.1365465885417,10.7848394661458,12.0216812239583,10.0981594140625,10.3057084090909,10.3863159635417,11.06327421875,11.3036355598958,10.4126775260417,8.76501876302083,7.88411212239583,8.17261838068182,8.40903385416667,8.8213696875,8.27586638020833,8.03087821614583
2015-06-09,88.5397780997227,10.5592779036458,11.3145064453125,8.3285491796875,0.294317559667996,0.560369366611339,-45.243769755,0,-44.8015679279167,-44.41769943625,-44.0588309433333,-43.7416291170833,-43.39109395875,-43.2405587983333,-43.5150236404167,0.315988148589826,0.318549051595705,0.313072411783785,0.307073359462894,0.301965231210375,0.314115893875758,0.290127491297682,0.588770896643871,0.592600363970117,0.603270864146094,0.594828205784572,0.554569646490106,0.592116975696746,0.549998953014363,0,0.217556727272727,0.435113454545455,0,0,3.04579418181818,1.05152418181818,11.3473664713542,12.2597402604167,10.4724908463542,10.3326577272727,10.4268383723958,11.1432738541667,11.1365465885417,11.2673501822917,12.0216812239583,10.0981594140625,10.3057084090909,10.3863159635417,11.06327421875,11.3036355598958,8.50441891927083,8.76501876302083,7.88411212239583,8.17261838068182,8.40903385416667,8.8213696875,8.27586638020833
2015-06-10,74.9346592724086,11.6113129557292,11.9311202473958,8.46805708333333,0.308643104615465,0.572617231815978,-45.6693049129167,0,-45.243769755,-44.8015679279167,-44.41769943625,-44.0588309433333,-43.7416291170833,-43.39109395875,-43.2405587983333,0.294317559667996,0.315988148589826,0.318549051595705,0.313072411783785,0.307073359462894,0.301965231210375,0.314115893875758,0.560369366611339,0.588770896643871,0.592600363970117,0.603270864146094,0.594828205784572,0.554569646490106,0.592116975696746,0,0,0.217556727272727,0.435113454545455,0,0,3.04579418181818,11.3145064453125,11.3473664713542,12.2597402604167,10.4724908463542,10.3326577272727,10.4268383723958,11.1432738541667,10.5592779036458,11.2673501822917,12.0216812239583,10.0981594140625,10.3057084090909,10.3863159635417,11.06327421875,8.3285491796875,8.50441891927083,8.76501876302083,7.88411212239583,8.17261838068182,8.40903385416667,8.8213696875
